@relation IndoorTempDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-indoor-temp numeric

@data
7.6,42,24.1,24,1.837,24
7.8,42,24,24,1.946,24
7.9,42,24,24,1.954,23.9
8.3,42,23.9,24,1.976,23.8
8.4,42,23.8,24,1.998,23.9
8.5,42,23.9,24,1.914,24
8.8,42,24,24,1.959,24.1
8.8,42,24.1,24,1.959,24.1
8.8,42,24.1,24,2.011,24.1
9,42,24.1,24,2.028,24
8.8,42,24,24,1.975,23.9
8.9,42,23.9,24,2.02,23.9
8.9,42,23.9,24,2.003,24
8.9,42,24,24,2.002,24
8,42,24,24,2.001,24.1
8.4,42,24.1,24,2.054,24
8.1,42,24,24,2.147,24
8,42,24,24,2.005,24.1
8.1,42,24.1,24,2.029,23.9
7.7,42,23.9,24,1.972,23.8
8,42,23.8,24,2.002,23.8
8.2,42,23.8,24,2.081,23.8
8.4,42,23.8,24,2.128,23.9
8,42,23.9,24,2.132,23.9
7.9,42,23.9,24,2.132,24
8.3,42,24,24,2.241,24.2
7.7,42,24.2,24,2.241,23.5
7.1,42,23.5,24,2.806,21.9
7.4,42,21.9,24,5.89,21.5
7.7,42,21.5,24,5.4,21.7
7.6,42,21.7,24,2.537,21.8
4.1,42,19.6,24,1.72,21.5
4,42,21.5,24,2.097,22.3
4,42,22.3,24,2.797,22.4
4.8,42,22.4,24,2.143,22.8
4.8,42,22.8,24,2.255,23.1
4,42,23.1,24,2.395,23.4
3.9,42,23.4,24,2.197,23.5
3.9,42,23.5,24,2.197,23.7
4.1,42,23.7,24,2.065,23.8
4.1,42,23.8,24,2.161,23.9
4.3,42,23.9,24,2.131,23.9
4.7,42,23.9,24,1.961,24
4.7,42,24,24,2.018,24.1
4.8,42,24.1,24,1.942,24.1
4.4,42,24.1,24,1.885,24.2
5.1,42,24.2,24,1.813,24.2
4.6,42,24.2,24,1.816,24.3
5.1,42,24.3,24,1.809,24.3
4.9,42,24.3,24,1.809,24.3
5,42,24.3,24,1.682,24.3
5,42,24.3,24,1.721,24.3
5.5,42,24.3,24,1.722,24.3
5.7,42,24.3,24,2.285,24.4
6.4,42,24.4,24,2.23,24.3
5.8,42,24.3,24,2.091,24.2
5.9,42,24.2,24,2.163,24.2
6.2,42,24.2,24,2.221,24.1
6.2,42,24.1,24,2.24,24.1
6.2,42,24.1,24,2.207,23.9
7.3,42,23.9,24,2.207,24
7.1,42,24,24,2.428,24
7,42,24,24,2.477,24
6.9,42,24,24,2.563,24
6.6,42,24,24,2.58,24
5.6,42,24,24,2.627,24
6,42,24,24,2.658,24
5.8,42,24,24,2.72,24
5.8,42,24,24,2.698,24
5.7,42,24,24,2.78,24
4.5,42,24,24,2.808,24
4.3,42,24,24,2.808,24
4.1,42,24,24,2.737,24
4,42,24,24,2.832,24
3.8,42,24,24,2.832,24.1
4.1,42,24.1,24,2.763,24
4.2,42,24,24,2.682,24
4.2,42,24,24,2.747,24
4.2,42,24,24,2.707,24
4.2,42,24,24,2.707,24
4.2,42,24,24,2.729,24
4.2,42,24,24,2.744,24
4.2,42,24,24,2.726,24
4.2,42,24,24,2.689,24
4.2,42,24,24,2.69,24
4.2,42,24,24,2.727,24
4.2,42,24,24,2.748,24
4.2,42,24,24,2.761,24
4.2,42,24,24,2.748,24
4.2,42,24,24,2.798,24
4.2,42,24,24,2.846,24
7.7,42,24,24,2.763,24
8.2,42,24,24,2.719,24
8.2,42,24,24,2.772,24
8.3,42,24,24,1.829,24
8.3,42,24,24,1.832,24
8.1,42,24,24,1.819,24
7.9,42,24,24,1.819,24
7.7,42,24,24,1.753,23.9
7.8,42,23.9,24,1.897,23.3
7.6,42,23.3,24,2.17,21.6
7.8,42,21.6,24,3.543,21
7.6,42,21,24,2.413,20.9
7.6,42,20.9,24,1.807,21
5.3,42,17.1,24,0.999,20.9
5.3,42,20.9,24,2.454,22.5
6,42,22.5,24,3.085,22.7
6.4,42,22.7,24,3.064,23
6,42,23,24,2.966,23.4
5.5,42,23.4,24,2.955,23.7
5.4,42,23.7,24,2.849,23.8
5.3,42,23.8,24,2.661,23.8
5.5,42,23.8,24,2.419,23.9
5.7,42,23.9,24,2.399,24
6.3,42,24,24,2.335,24
6.5,42,24,24,2.414,24.1
6,42,24.1,24,2.401,24.1
5.6,42,24.1,24,2.401,24.2
5.6,42,24.2,24,2.357,24.2
6.1,42,24.2,24,2.285,24.2
6.5,42,24.2,24,2.298,24.3
6.5,42,24.3,24,2.329,24.3
6,42,24.3,24,2.307,24.4
6.2,42,24.4,24,2.292,24.4
6,42,24.4,24,2.307,24.4
5.9,42,24.4,24,2.312,24.4
5.8,42,24.4,24,2.321,24.2
5.9,42,24.2,24,2.41,24.1
5.9,42,24.1,24,2.394,24.1
5.9,42,24.1,24,2.538,24
5.9,42,24,24,2.62,24
5.9,42,24,24,2.681,24
6.2,42,24,24,2.781,24
6.4,42,24,24,2.844,24
6.3,42,24,24,2.923,24
6.7,42,24,24,2.905,24
7.4,42,24,24,2.925,24
7.5,42,24,24,2.928,24
7.6,42,24,24,2.957,24
7.7,42,24,24,2.876,24
7.9,42,24,24,2.876,24
7.7,42,24,24,2.762,24
7.4,42,24,24,2.742,24
7.5,42,24,24,2.758,24
7.5,42,24,24,2.703,24
7.8,42,24,24,2.779,24
8.2,42,24,24,2.745,24
8.6,42,24,24,2.745,24
8.9,42,24,24,2.745,24
8.7,42,24,24,2.821,24
8.7,42,24,24,2.822,24
8.7,42,24,24,2.86,24
8.7,42,24,24,2.86,24
8.2,42,24,24,2.86,24
8.3,42,24,24,2.778,24
8.8,42,24,24,2.812,24
9.9,42,24,24,2.754,24
10.1,42,24,24,2.747,24
9.5,42,24,24,2.781,24
9.1,42,24,24,2.781,24
9.3,42,24,24,2.79,24
8.8,42,24,24,2.89,24
9.3,42,24,24,2.833,24
9.3,42,24,24,2.861,24
9.2,42,24,24,2.861,23.8
8.8,42,23.8,24,2.914,23.8
8.7,42,23.8,24,3.005,23.8
8.8,42,23.8,24,3.082,23.8
9.1,42,23.8,24,1.786,23.7
8.8,42,23.7,24,1.705,23.6
8.8,42,23.6,24,1.84,23.3
8.2,42,23.3,24,1.844,23.5
8.1,42,23.5,24,2.326,23.9
8.1,42,23.9,24,2.05,23.5
7.8,42,23.5,24,2.162,21.9
7.7,42,21.9,24,3.565,21.2
7.7,42,21.2,24,3.755,21
7.7,42,21,24,2.296,21.1
7.2,42,22.1,24,3.291,23.1
7.2,42,23.1,24,3,23.2
7.3,42,23.2,24,2.897,23.4
7.3,42,23.4,24,2.889,23.7
7.3,42,23.7,24,2.706,23.9
7.3,42,23.9,24,2.616,24
7.4,42,24,24,2.567,24.1
7.3,42,24.1,24,2.617,24.2
7.3,42,24.2,24,2.486,24.3
7.4,42,24.3,24,2.589,24.3
7.4,42,24.3,24,2.445,24.4
7.4,42,24.4,24,2.445,24.4
7.4,42,24.4,24,2.296,24.4
7.4,42,24.4,24,2.323,24.4
7.5,42,24.4,24,2.239,24.4
7.5,42,24.4,24,2.246,24.4
7.5,42,24.4,24,2.232,24.3
7.6,42,24.3,24,2.291,24.1
7.7,42,24.1,24,2.312,24
7.7,42,24,24,2.357,24
7.7,42,24,24,2.398,24.1
7.8,42,24.1,24,2.52,24
7.9,42,24,24,2.568,24
7.9,42,24,24,2.597,24
7.9,42,24,24,2.672,24
7.9,42,24,24,2.727,23.9
7.8,42,23.9,24,2.701,24.1
7.8,42,24.1,24,2.567,24
7.8,42,24,24,2.589,24
7.9,42,24,24,2.642,24
8,42,24,24,2.591,24.1
8,42,24.1,24,2.622,24
8,42,24,24,2.621,24
8.1,42,24,24,2.661,24
8.1,42,24,24,2.623,24.1
8,41,24.1,24,2.645,24
8.1,41,24,24,2.635,24.1
8.1,41,24.1,24,2.63,24
8.2,41,24,24,2.605,24
8.2,41,24,24,2.652,24
8.3,41,24,24,2.641,24
8.2,41,24,24,2.656,24
8.3,41,24,24,2.611,24
8.3,41,24,24,2.569,24
8.3,41,24,24,2.579,23.9
8.3,41,23.9,24,2.579,24
8.4,41,24,24,2.6,24
8.4,41,24,24,2.65,24
9.5,41,24,24,2.569,24
9.6,41,24,24,2.644,23.9
9.7,41,23.9,24,2.612,24
9.9,41,24,24,2.629,24.1
10,41,24.1,24,2.606,24
9.9,41,24,24,2.654,24.1
9.9,41,24.1,24,2.664,24
9.9,41,24,24,2.664,24
9.4,42,19.8,24,0,22.9
9.4,42,22.9,24,3.668,23.6
9.3,42,23.6,24,3.168,23.8
9.2,42,23.8,24,2.781,24
9.4,42,24,24,2.7,24.2
9.3,42,24.2,24,2.493,24.3
9.3,42,24.3,24,2.303,24.4
9.1,42,24.4,24,2.144,24.4
9.1,42,24.4,24,2.141,24.5
9.1,42,24.5,24,2.07,23.6
9.2,40,23.6,24,2.544,23
9.1,42,23,24,2.974,23.1
9.1,41,23.1,24,2.974,23.2
9.1,41,23.2,24,3.379,23.4
9.1,41,23.4,24,3.48,23.8
9.2,41,23.8,24,3.349,24.3
9.1,41,24.3,24,3.148,24.4
9.2,41,24.4,24,2.878,24.4
9.2,41,24.4,24,2.652,24.5
9.4,41,23.5,24,3.108,24
9.6,41,24,24,3.107,23.8
9.6,41,23.8,24,3.112,23.9
9.8,41,23.9,24,3.2,24
10,41,24,24,3.169,24
10.1,41,24,24,3.072,24.1
10.1,41,24.1,24,2.978,23.9
10.1,41,23.9,24,2.985,23.9
10.5,41,23.9,24,2.929,24.2
10.6,41,24.2,24,2.863,24.2
10.6,41,24.2,24,2.939,24
10.8,41,24,24,2.977,23.6
11,41,23.6,24,3.26,23.8
11.1,41,23.8,24,3.084,24
11,41,24,24,3.084,24.1
11.1,41,24.1,24,2.808,24.1
11.3,41,24.1,24,2.761,24.1
11.2,41,24.1,24,2.79,24.2
11.3,41,24.2,24,2.666,24.1
9.6,42,20.4,24,1.958,23.4
9.5,42,23.4,24,2.625,23.7
9.5,42,23.7,24,3.042,23.7
9.5,42,23.7,24,3.044,24.1
9.4,42,24.1,24,2.86,24.3
9.5,42,24.3,24,2.547,24.5
