@relation PowerConsumption

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric

@data
7.8,42,24,24,2.779
8.2,42,24,24,2.745
8.6,42,24,24,2.745
8.9,42,24,24,2.745
8.7,42,24,24,2.821
8.7,42,24,24,2.822
8.7,42,24,24,2.86
8.7,42,24,24,2.86
8.2,42,24,24,2.86
8.3,42,24,24,2.778
8.8,42,24,24,2.812
9.9,42,24,24,2.754
10.1,42,24,24,2.747
9.5,42,24,24,2.781
9.1,42,24,24,2.781
9.3,42,24,24,2.79
8.8,42,24,24,2.89
9.3,42,24,24,2.833
9.3,42,24,24,2.861
9.2,42,24,24,2.861
8.8,42,23.8,24,2.914
8.7,42,23.8,24,3.005
8.8,42,23.8,24,3.082
9.1,42,23.8,24,1.786
8.8,42,23.7,24,1.705
8.8,42,23.6,24,1.84
8.2,42,23.3,24,1.844
8.1,42,23.5,24,2.326
8.1,42,23.9,24,2.05
7.8,42,23.5,24,2.162
7.7,42,21.9,24,3.565
7.7,42,21.2,24,3.755
7.7,42,21,24,2.296
7.8,42,21.1,24,1.914
7.2,42,22.1,24,3.291
7.2,42,23.1,24,3
7.3,42,23.2,24,2.897
7.3,42,23.4,24,2.889
7.3,42,23.7,24,2.706
7.3,42,23.9,24,2.616
7.4,42,24,24,2.567
7.3,42,24.1,24,2.617
7.3,42,24.2,24,2.486
7.4,42,24.3,24,2.589
7.4,42,24.3,24,2.445
7.4,42,24.4,24,2.445
7.4,42,24.4,24,2.296
7.4,42,24.4,24,2.323
7.5,42,24.4,24,2.239
7.5,42,24.4,24,2.246
7.5,42,24.4,24,2.232
7.6,42,24.3,24,2.291
7.7,42,24.1,24,2.312
7.7,42,24,24,2.357
7.7,42,24,24,2.398
7.8,42,24.1,24,2.52
7.9,42,24,24,2.568
7.9,42,24,24,2.597
7.9,42,24,24,2.672
7.9,42,24,24,2.727
7.8,42,23.9,24,2.701
7.8,42,24.1,24,2.567
7.8,42,24,24,2.589
7.9,42,24,24,2.642
8,42,24,24,2.591
8,42,24.1,24,2.622
8,42,24,24,2.621
8.1,42,24,24,2.661
8.1,42,24,24,2.623
8,41,24.1,24,2.645
8.1,41,24,24,2.635
8.1,41,24.1,24,2.63
8.2,41,24,24,2.605
8.2,41,24,24,2.652
8.3,41,24,24,2.641
8.2,41,24,24,2.656
8.3,41,24,24,2.611
8.3,41,24,24,2.569
8.3,41,24,24,2.579
8.3,41,23.9,24,2.579
8.4,41,24,24,2.6
8.4,41,24,24,2.65
9.5,41,24,24,2.569
9.6,41,24,24,2.644
9.7,41,23.9,24,2.612
9.9,41,24,24,2.629
10,41,24.1,24,2.606
9.9,41,24,24,2.654
9.9,41,24.1,24,2.664
9.9,41,24,24,2.664
10.2,41,24,24,2.665
9.4,42,19.8,24,0
9.4,42,22.9,24,3.668
9.3,42,23.6,24,3.168
9.2,42,23.8,24,2.781
9.4,42,24,24,2.7
9.3,42,24.2,24,2.493
9.3,42,24.3,24,2.303
9.1,42,24.4,24,2.144
9.1,42,24.4,24,2.141
9.1,42,24.5,24,2.07
9.2,40,23.6,24,2.544
9.1,42,23,24,2.974
9.1,41,23.1,24,2.974
9.1,41,23.2,24,3.379
9.1,41,23.4,24,3.48
9.2,41,23.8,24,3.349
9.1,41,24.3,24,3.148
9.2,41,24.4,24,2.878
9.2,41,24.4,24,2.652
9.4,41,24.5,24,2.407
9.4,41,23.5,24,3.108
9.6,41,24,24,3.107
9.6,41,23.8,24,3.112
9.8,41,23.9,24,3.2
10,41,24,24,3.169
10.1,41,24,24,3.072
10.1,41,24.1,24,2.978
10.1,41,23.9,24,2.985
10.5,41,23.9,24,2.929
10.6,41,24.2,24,2.863
10.6,41,24.2,24,2.939
10.8,41,24,24,2.977
11,41,23.6,24,3.26
11.1,41,23.8,24,3.084
11,41,24,24,3.084
11.1,41,24.1,24,2.808
11.3,41,24.1,24,2.761
11.2,41,24.1,24,2.79
11.3,41,24.2,24,2.666
11.5,41,24.1,24,2.703
9.6,42,20.4,24,1.958
9.5,42,23.4,24,2.625
9.5,42,23.7,24,3.042
9.5,42,23.7,24,3.044
9.4,42,24.1,24,2.86
9.5,42,24.3,24,2.547
9.4,40,24.5,24,2.333
9.4,41,23.7,24,2.838
9.3,41,24.1,24,2.838
9.2,41,24,24,2.943
9.2,41,24.1,24,2.899
9.3,41,24,24,2.925
9.3,41,24,24,2.886
9.3,41,24.1,24,2.968
9.3,41,24,24,2.993
9.4,41,24.1,24,3.036
9.6,41,24,24,3.05
9.6,41,24,24,3.059
9.6,41,23.9,24,3.104
9.8,41,23.9,24,3.073
9.8,41,24,24,3.021
10.1,41,24,24,3.066
10.4,41,24,24,3.081
10.4,41,24,24,3.135
10.4,41,24,24,3.135
10.4,41,24,24,2.935
10.5,41,24,24,2.844
10.6,41,24,24,2.857
10.9,41,24,24,2.847
11.4,41,24,24,2.847
11.8,41,24,24,2.771
11.7,41,23.9,24,2.825
11.6,41,23.9,24,2.849
12.1,41,24.1,24,2.849
11.9,41,24.1,24,2.929
12,41,24,24,2.994
12.6,41,24,24,2.797
13.3,41,24,24,2.746
9.8,42,18.3,24,0.995
9.7,42,22,24,3.084
9.8,42,23.1,24,3.084
9.6,42,23.2,24,3.016
9.7,42,23.4,24,2.901
9.8,42,23.8,24,2.7
9.7,42,24,24,2.588
9.6,42,24.1,24,2.569
9.6,42,24.2,24,2.569
9.6,42,24.3,24,2.298
9.7,42,24.3,24,2.385
9.8,42,24.3,24,2.295
9.7,42,24.3,24,2.227
9.7,42,24.3,24,2.251
9.8,42,24.4,24,2.244
10,42,24.3,24,2.207
10.2,42,24.2,24,2.285
10.3,42,24.3,24,2.298
10.9,42,24.3,24,2.393
11.1,42,24.3,24,2.411
11.5,42,24.2,24,2.493
11.9,42,24.1,24,2.558
12.4,42,24.1,24,2.63
12.5,42,23.9,24,2.68
12.3,42,24,24,2.68
12.5,42,24,24,2.778
12.7,41,24,24,2.829
12.8,41,24,24,2.863
13.1,41,24,24,2.98
13.6,41,23.9,24,3.005
13.6,41,23.7,24,3.03
13.9,41,23.5,24,3.209
14.2,41,23.5,24,3.278
14.4,41,23.8,24,3.455
15.5,41,24,24,3.353
14.8,41,23.8,24,3.579
14.4,41,23.7,24,3.68
14.7,41,23.9,24,3.707
14.9,41,24,24,3.638
15,41,24.2,24,3.524
14.7,41,24.2,24,3.171
14.4,41,24.3,24,3.171
14.5,41,24.3,24,2.956
15.4,41,24.3,24,3.028
14.8,41,24.3,24,3.028
15.3,41,24.2,24,2.86
16.3,41,24.1,24,2.834
16,41,23.9,24,2.833
17,41,23.8,24,2.942
17.6,41,23.7,24,2.964
16.9,41,23.5,24,3.455
16.8,41,23.5,24,3.839
16.8,41,23.6,24,3.9
17.6,41,23.7,24,3.858
17.5,41,23.7,24,4.063
18,41,23.6,24,4.037
17.3,41,23.6,24,4.182
17.5,41,23.8,24,4.32
17.5,41,23.8,24,4.335
16.5,41,23.8,24,4.364
17,41,24,24,4.299
17.5,41,24.1,24,4.081
17.1,41,24.1,24,3.639
16.6,41,24.1,24,3.532
16.6,41,24.2,24,2.316
16.1,41,24.5,24,2.213
16.1,41,23.3,24,2.299
14.9,41,23.1,24,2.404
14.4,41,23.2,24,2.453
14.1,41,23,24,2.547
13.8,41,22.1,24,3.613
13.8,42,22.1,24,3.187
14,42,22.1,24,3.19
12.6,42,22.2,24,3.088
11.3,42,19.9,24,1.085
11.4,42,23,24,3.494
11.3,42,23.6,24,3.197
11.3,42,23.9,24,2.821
11.1,42,24.2,24,2.576
11.1,42,24.3,24,2.407
11.1,42,24.5,24,2.31
11.1,42,24.5,24,2.106
11.1,41,23.1,24,2.755
11,41,23.1,24,3.092
10.9,41,23.3,24,3.138
11.3,41,23.4,24,3.357
11.4,41,23.5,24,3.345
11.5,41,24.2,24,3.188
11.6,41,24.4,24,2.884
11.9,41,23.2,24,3.285
9.9,41,24,24,3.698
10,41,24,24,3.584
10.1,41,24.1,24,3.463
10.3,41,24.1,24,3.41
10.5,41,23.7,24,3.56
11,41,23.9,24,3.702
9.3,42,21.1,24,1.088
9.3,42,23.6,24,3.228
9.2,42,24.1,24,3.228
9.5,42,24.1,24,2.486
9.2,42,24.3,24,2.37
9.6,40,24.5,24,2.147
9.1,40,23.6,24,2.526
9.2,41,23.1,24,2.945
9.3,41,23,24,2.945
9.3,41,23,24,3.458
9,41,23.3,24,3.838
9,41,23.9,24,3.803
9,41,24,24,3.656
9.2,41,24,24,3.433
9.4,41,24.1,24,3.432
9.6,41,24,24,3.458
9.9,41,24.1,24,3.544
10.1,41,24,24,3.465
10.6,41,24,24,3.477
10.6,41,23.9,24,3.397
10.8,41,23.9,24,3.324
11.7,41,24,24,3.341
11.6,41,24,24,3.226
12.2,41,24,24,3.185
8.7,42,20.9,24,1.957
8.2,42,23.6,24,3.098
7.8,42,24.2,24,2.722
7.7,42,24.2,24,2.717
8.1,42,24.4,24,2.445
7.8,40,24.5,24,2.087
7.8,40,24.5,24,1.866
8.1,42,23.1,24,2.541
8.3,42,22.6,24,2.968
