@relation ModeDynamics

@attribute external-temperature numeric
@attribute hvac-mode {40,41,42}
@attribute indoor-temperature numeric
@attribute setpoint-temperature numeric
@attribute hvac-power numeric
@attribute next-hvac-mode {40,41,42}

@data
9.5,42,23.4,24,2.625,42
9.5,42,23.7,24,3.042,42
9.5,42,23.7,24,3.044,42
9.4,42,24.1,24,2.86,42
9.5,42,24.3,24,2.547,40
9.4,41,23.7,24,2.838,41
9.3,41,24.1,24,2.838,41
9.2,41,24,24,2.943,41
9.2,41,24.1,24,2.899,41
9.3,41,24,24,2.925,41
9.3,41,24,24,2.886,41
9.3,41,24.1,24,2.968,41
9.3,41,24,24,2.993,41
9.4,41,24.1,24,3.036,41
9.6,41,24,24,3.05,41
9.6,41,24,24,3.059,41
9.6,41,23.9,24,3.104,41
9.8,41,23.9,24,3.073,41
9.8,41,24,24,3.021,41
10.1,41,24,24,3.066,41
10.4,41,24,24,3.081,41
10.4,41,24,24,3.135,41
10.4,41,24,24,3.135,41
10.4,41,24,24,2.935,41
10.5,41,24,24,2.844,41
10.6,41,24,24,2.857,41
10.9,41,24,24,2.847,41
11.4,41,24,24,2.847,41
11.8,41,24,24,2.771,41
11.7,41,23.9,24,2.825,41
11.6,41,23.9,24,2.849,41
12.1,41,24.1,24,2.849,41
11.9,41,24.1,24,2.929,41
12,41,24,24,2.994,41
12.6,41,24,24,2.797,41
9.8,42,18.3,24,0.995,42
9.7,42,22,24,3.084,42
9.8,42,23.1,24,3.084,42
9.6,42,23.2,24,3.016,42
9.7,42,23.4,24,2.901,42
9.8,42,23.8,24,2.7,42
9.7,42,24,24,2.588,42
9.6,42,24.1,24,2.569,42
9.6,42,24.2,24,2.569,42
9.6,42,24.3,24,2.298,42
9.7,42,24.3,24,2.385,42
9.8,42,24.3,24,2.295,42
9.7,42,24.3,24,2.227,42
9.7,42,24.3,24,2.251,42
9.8,42,24.4,24,2.244,42
10,42,24.3,24,2.207,42
10.2,42,24.2,24,2.285,42
10.3,42,24.3,24,2.298,42
10.9,42,24.3,24,2.393,42
11.1,42,24.3,24,2.411,42
11.5,42,24.2,24,2.493,42
11.9,42,24.1,24,2.558,42
12.4,42,24.1,24,2.63,42
12.5,42,23.9,24,2.68,42
12.3,42,24,24,2.68,42
12.5,42,24,24,2.778,41
12.7,41,24,24,2.829,41
12.8,41,24,24,2.863,41
13.1,41,24,24,2.98,41
13.6,41,23.9,24,3.005,41
13.6,41,23.7,24,3.03,41
13.9,41,23.5,24,3.209,41
14.2,41,23.5,24,3.278,41
14.4,41,23.8,24,3.455,41
15.5,41,24,24,3.353,41
14.8,41,23.8,24,3.579,41
14.4,41,23.7,24,3.68,41
14.7,41,23.9,24,3.707,41
14.9,41,24,24,3.638,41
15,41,24.2,24,3.524,41
14.7,41,24.2,24,3.171,41
